arity,num_items,value_len,num_buckets,stage,mean_ns,min_ns,max_ns,stddev_ns
segmented-2ary,128,32,512,query,95227,92250,101875,1788
segmented-2ary,128,32,512,respond,8484,7458,8709,249
segmented-2ary,128,32,512,decrypt,293,208,1791,277
segmented-2ary,128,32,512,total,104004,101041,110583,1788
segmented-3ary,128,32,768,query,97674,91875,118083,4543
segmented-3ary,128,32,768,respond,10027,9708,10375,192
segmented-3ary,128,32,768,decrypt,195,166,500,66
segmented-3ary,128,32,768,total,107897,101875,128792,4698
segmented-4ary,128,32,1024,query,128001,109417,215375,23828
segmented-4ary,128,32,1024,respond,13220,12875,13833,305
segmented-4ary,128,32,1024,decrypt,193,166,333,39
segmented-4ary,128,32,1024,total,141414,122708,228750,24000
segmented-2ary,512,32,2048,query,278828,232209,809792,101703
segmented-2ary,512,32,2048,respond,19209,16458,22666,1496
segmented-2ary,512,32,2048,decrypt,457,166,5709,959
segmented-2ary,512,32,2048,total,298495,248875,828917,101646
segmented-3ary,512,32,3072,query,450802,366167,1272625,159841
segmented-3ary,512,32,3072,respond,31961,25167,60375,6831
segmented-3ary,512,32,3072,decrypt,648,209,4708,987
segmented-3ary,512,32,3072,total,483411,393916,1335000,165489
segmented-4ary,512,32,4096,query,580513,493375,1245750,134033
segmented-4ary,512,32,4096,respond,38370,32708,52792,4568
segmented-4ary,512,32,4096,decrypt,470,291,1042,148
segmented-4ary,512,32,4096,total,619353,530875,1283208,133782
