scheme,arity,num_buckets,bucket_size,degree,count
segmented,2,65536,1,0,24555
segmented,2,65536,1,1,24262
segmented,2,65536,1,2,11773
segmented,2,65536,1,3,3830
segmented,2,65536,1,4,912
segmented,2,65536,1,5,169
segmented,2,65536,1,6,28
segmented,2,65536,1,7,7
standard,2,65536,1,0,23903
standard,2,65536,1,1,24015
standard,2,65536,1,2,12319
standard,2,65536,1,3,4036
standard,2,65536,1,4,1028
standard,2,65536,1,5,194
standard,2,65536,1,6,29
standard,2,65536,1,7,9
standard,2,65536,1,8,3
segmented,3,49152,1,0,3361
segmented,3,49152,1,1,8786
segmented,3,49152,1,2,12171
segmented,3,49152,1,3,10876
segmented,3,49152,1,4,7300
segmented,3,49152,1,5,3936
segmented,3,49152,1,6,1665
segmented,3,49152,1,7,716
segmented,3,49152,1,8,245
segmented,3,49152,1,9,71
segmented,3,49152,1,10,20
segmented,3,49152,1,11,5
standard,3,59049,1,0,4084
standard,3,59049,1,1,10828
standard,3,59049,1,2,14505
standard,3,59049,1,3,12923
standard,3,59049,1,4,8628
standard,3,59049,1,5,4774
standard,3,59049,1,6,2128
standard,3,59049,1,7,773
standard,3,59049,1,8,287
standard,3,59049,1,9,96
standard,3,59049,1,10,18
standard,3,59049,1,11,3
standard,3,59049,1,12,2
segmented,4,65536,1,0,1405
segmented,4,65536,1,1,5380
segmented,4,65536,1,2,10377
segmented,4,65536,1,3,13124
segmented,4,65536,1,4,12850
segmented,4,65536,1,5,9860
segmented,4,65536,1,6,6306
segmented,4,65536,1,7,3477
segmented,4,65536,1,8,1616
segmented,4,65536,1,9,713
segmented,4,65536,1,10,302
segmented,4,65536,1,11,90
segmented,4,65536,1,12,25
segmented,4,65536,1,13,7
segmented,4,65536,1,14,3
segmented,4,65536,1,15,1
standard,4,65536,1,0,1327
standard,4,65536,1,1,5340
standard,4,65536,1,2,10328
standard,4,65536,1,3,13393
standard,4,65536,1,4,12640
standard,4,65536,1,5,9846
standard,4,65536,1,6,6318
standard,4,65536,1,7,3443
standard,4,65536,1,8,1692
standard,4,65536,1,9,757
standard,4,65536,1,10,300
standard,4,65536,1,11,94
standard,4,65536,1,12,43
standard,4,65536,1,13,15
segmented,2,65536,2,0,1967
segmented,2,65536,2,1,6772
segmented,2,65536,2,2,12035
segmented,2,65536,2,3,14098
segmented,2,65536,2,4,12529
segmented,2,65536,2,5,8741
segmented,2,65536,2,6,5046
segmented,2,65536,2,7,2602
segmented,2,65536,2,8,1085
segmented,2,65536,2,9,435
segmented,2,65536,2,10,163
segmented,2,65536,2,11,52
segmented,2,65536,2,12,9
segmented,2,65536,2,13,1
segmented,2,65536,2,15,1
standard,2,65536,2,0,2034
standard,2,65536,2,1,7189
standard,2,65536,2,2,12058
standard,2,65536,2,3,14157
standard,2,65536,2,4,12420
standard,2,65536,2,5,8652
standard,2,65536,2,6,4850
standard,2,65536,2,7,2547
standard,2,65536,2,8,1050
standard,2,65536,2,9,401
standard,2,65536,2,10,129
standard,2,65536,2,11,37
standard,2,65536,2,12,9
standard,2,65536,2,13,2
standard,2,65536,2,15,1
segmented,3,49152,2,0,133
segmented,3,49152,2,1,812
segmented,3,49152,2,2,2441
segmented,3,49152,2,3,4694
segmented,3,49152,2,4,6888
segmented,3,49152,2,5,7923
segmented,3,49152,2,6,7892
segmented,3,49152,2,7,6653
segmented,3,49152,2,8,4888
segmented,3,49152,2,9,3177
segmented,3,49152,2,10,1816
