scheme,arity,num_buckets,bucket_size,deleted,mean_lf,mean_duration_ns,mean_mops,min_mops,max_mops,stddev_mops
segmented,2,65536,1,32004,0.488342,7614521,4.2078,4.0633,4.4395,0.1439
standard,2,65536,1,33052,0.504333,8075975,4.1012,3.6273,4.2555,0.1800
segmented,3,49152,1,44466,0.904578,12171571,3.6550,3.5017,3.7850,0.0802
standard,3,19683,1,17678,0.898120,6790408,2.6661,1.6752,2.8570,0.3377
segmented,4,65536,1,63039,0.961891,19737492,3.1965,3.0183,3.3110,0.0914
standard,4,65536,1,63113,0.963017,19321496,3.2674,3.1911,3.3679,0.0544
segmented,2,65536,2,114591,0.874258,32989558,3.4743,3.3383,3.5174,0.0509
standard,2,65536,2,114780,0.875692,31821621,3.6071,3.5862,3.6546,0.0193
segmented,3,49152,2,96109,0.977656,31874488,3.0153,3.0015,3.0457,0.0119
standard,3,19683,2,38479,0.977437,15792400,2.4366,2.4104,2.4509,0.0119
segmented,4,65536,2,130061,0.992282,49747688,2.6145,2.5860,2.6330,0.0156
standard,4,65536,2,130020,0.991965,47460800,2.7396,2.7244,2.7504,0.0086
segmented,2,65536,3,184595,0.938897,58812383,3.1389,3.0976,3.1707,0.0235
standard,2,65536,3,184618,0.939012,58478504,3.1572,3.0996,3.1856,0.0253
segmented,3,49152,3,145979,0.989983,56725758,2.5746,2.4184,2.6165,0.0535
standard,3,19683,3,58220,0.985961,26973029,2.1641,1.8656,2.2372,0.1040
segmented,4,65536,3,195545,0.994593,89639121,2.1826,2.0458,2.2149,0.0478
standard,4,65536,3,195841,0.996093,83075433,2.3620,2.1019,2.4293,0.0998
segmented,2,65536,4,252888,0.964689,91352825,2.7684,2.7216,2.8000,0.0223
standard,2,65536,4,252387,0.962778,90472667,2.7910,2.6518,2.8523,0.0597
segmented,3,49152,4,195558,0.994654,86703017,2.2556,2.2246,2.2788,0.0175
standard,3,19683,4,78233,0.993661,38959550,2.0083,1.9628,2.0280,0.0228
segmented,4,65536,4,261427,0.997265,136805667,1.9110,1.8867,1.9213,0.0122
standard,4,65536,4,261431,0.997279,118547821,2.2059,2.1042,2.2384,0.0355
segmented,2,262144,1,126303,0.481808,30335617,4.1645,4.0251,4.2361,0.0623
standard,2,262144,1,134272,0.512207,31545279,4.2566,4.1937,4.2852,0.0257
segmented,3,196608,1,176036,0.895363,49263279,3.5736,3.5179,3.6082,0.0298
standard,3,59049,1,52796,0.894105,19269458,2.7400,2.7100,2.7630,0.0162
segmented,4,262144,1,252145,0.961854,83018758,3.0437,2.7297,3.1973,0.1374
standard,4,262144,1,252153,0.961879,77942579,3.2352,3.2054,3.2550,0.0157
segmented,2,262144,2,458016,0.873594,131455379,3.4847,3.3890,3.5287,0.0426
standard,2,262144,2,455248,0.868317,129350675,3.5211,3.3383,3.5816,0.0744
segmented,3,196608,2,384070,0.976734,134707475,2.8625,2.5038,2.9702,0.1724
standard,3,59049,2,114788,0.971972,47956646,2.3936,2.3652,2.4100,0.0126
segmented,4,262144,2,519960,0.991743,205124079,2.5350,2.5015,2.5679,0.0203
