fingerprint_bits,scheme,num_buckets,load_factor,num_inserted,num_queries,false_positives,fpr_pct,theoretical_pct
5,segmented,262144,0.997393,1045842,10485760,4272215,40.743017,50.000000
5,standard,262144,0.996976,1045405,10485760,4269523,40.717344,50.000000
6,segmented,262144,0.997390,1045839,10485760,2368563,22.588377,25.000000
6,standard,262144,0.997066,1045500,10485760,2370520,22.607040,25.000000
7,segmented,262144,0.997234,1045676,10485760,1244579,11.869230,12.500000
7,standard,262144,0.997130,1045567,10485760,1245597,11.878939,12.500000
8,segmented,262144,0.996920,1045346,10485760,638251,6.086836,6.250000
8,standard,262144,0.996358,1044757,10485760,637356,6.078300,6.250000
9,segmented,262144,0.997616,1046076,10485760,323422,3.084393,3.125000
9,standard,262144,0.996945,1045373,10485760,322014,3.070965,3.125000
10,segmented,262144,0.997508,1045963,10485760,162738,1.551991,1.562500
10,standard,262144,0.996984,1045414,10485760,161765,1.542711,1.562500
11,segmented,262144,0.996339,1044737,10485760,81413,0.776415,0.781250
11,standard,262144,0.997400,1045850,10485760,81311,0.775442,0.781250
12,segmented,262144,0.997476,1045929,10485760,41081,0.391779,0.390625
12,standard,262144,0.997405,1045855,10485760,40867,0.389738,0.390625
13,segmented,262144,0.997810,1046280,10485760,20500,0.195503,0.195312
13,standard,262144,0.996834,1045256,10485760,20296,0.193558,0.195312
14,segmented,262144,0.997636,1046097,10485760,10254,0.097790,0.097656
14,standard,262144,0.995811,1044183,10485760,10266,0.097904,0.097656
15,segmented,262144,0.997001,1045431,10485760,5134,0.048962,0.048828
15,standard,262144,0.997436,1045887,10485760,5126,0.048885,0.048828
16,segmented,262144,0.996842,1045265,10485760,2577,0.024576,0.024414
16,standard,262144,0.997480,1045934,10485760,2546,0.024281,0.024414
17,segmented,262144,0.997228,1045669,10485760,1256,0.011978,0.012207
17,standard,262144,0.997191,1045631,10485760,1288,0.012283,0.012207
18,segmented,262144,0.997746,1046213,10485760,601,0.005732,0.006104
18,standard,262144,0.997096,1045531,10485760,653,0.006227,0.006104
19,segmented,262144,0.997096,1045531,10485760,301,0.002871,0.003052
19,standard,262144,0.996961,1045389,10485760,330,0.003147,0.003052
20,segmented,262144,0.997343,1045790,10485760,153,0.001459,0.001526
20,standard,262144,0.997080,1045514,10485760,161,0.001535,0.001526
21,segmented,262144,0.997488,1045942,10485760,80,0.000763,0.000763
21,standard,262144,0.997502,1045957,10485760,79,0.000753,0.000763
22,segmented,262144,0.996570,1044979,10485760,37,0.000353,0.000381
22,standard,262144,0.997069,1045503,10485760,44,0.000420,0.000381
23,segmented,262144,0.997387,1045836,10485760,21,0.000200,0.000191
23,standard,262144,0.997024,1045455,10485760,22,0.000210,0.000191
24,segmented,262144,0.997427,1045878,10485760,13,0.000124,0.000095
24,standard,262144,0.996744,1045162,10485760,15,0.000143,0.000095
25,segmented,262144,0.997724,1046189,10485760,5,0.000048,0.000048
25,standard,262144,0.996652,1045065,10485760,9,0.000086,0.000048
26,segmented,262144,0.997134,1045571,10485760,1,0.000010,0.000024
26,standard,262144,0.997036,1045468,10485760,5,0.000048,0.000024
27,segmented,262144,0.997167,1045605,10485760,1,0.000010,0.000012
27,standard,262144,0.997591,1046050,10485760,2,0.000019,0.000012
28,segmented,262144,0.997375,1045824,10485760,0,0.000000,0.000006
28,standard,262144,0.997443,1045895,10485760,1,0.000010,0.000006
29,segmented,262144,0.997330,1045776,10485760,0,0.000000,0.000003
29,standard,262144,0.996961,1045389,10485760,0,0.000000,0.000003
30,segmented,262144,0.996751,1045169,10485760,0,0.000000,0.000001
30,standard,262144,0.997426,1045877,10485760,0,0.000000,0.000001
31,segmented,262144,0.996964,1045393,10485760,0,0.000000,0.000001
31,standard,262144,0.997370,1045818,10485760,0,0.000000,0.000001
32,segmented,262144,0.997216,1045657,10485760,0,0.000000,0.000000
32,standard,262144,0.997345,1045792,10485760,0,0.000000,0.000000
