scheme,arity,num_buckets,bucket_size,mean_inserted,mean_lf,mean_duration_ns,mean_mops,min_mops,max_mops,stddev_mops
segmented,2,65536,1,32004,0.488342,15642721,2.0474,1.9452,2.1123,0.0550
standard,2,65536,1,33052,0.504333,16653262,1.9853,1.8940,2.0206,0.0349
segmented,3,49152,1,44800,0.911464,172964696,0.2645,0.2145,0.3550,0.0398
standard,3,19683,1,17988,0.913870,94505158,0.1919,0.1562,0.2131,0.0167
segmented,4,65536,1,63777,0.973161,241435129,0.2668,0.2139,0.3213,0.0265
standard,4,65536,1,63810,0.973666,252005000,0.2539,0.2345,0.2822,0.0133
segmented,2,65536,2,116932,0.892117,414480783,0.2849,0.2435,0.3444,0.0284
standard,2,65536,2,116579,0.889426,411087312,0.2849,0.2433,0.3178,0.0187
segmented,3,49152,2,96847,0.985178,311607796,0.3127,0.2759,0.3421,0.0242
standard,3,19683,2,38789,0.985343,158097629,0.2471,0.2125,0.2788,0.0206
segmented,4,65536,2,130634,0.996655,312500029,0.4190,0.3852,0.4449,0.0197
standard,4,65536,2,130591,0.996333,326149575,0.4025,0.3552,0.4643,0.0291
segmented,2,65536,3,187247,0.952389,611230571,0.3089,0.2660,0.3634,0.0283
standard,2,65536,3,187306,0.952686,675181342,0.2786,0.2575,0.3053,0.0185
segmented,3,49152,3,146766,0.995320,347647838,0.4233,0.3878,0.4582,0.0215
standard,3,19683,3,58772,0.995317,181071088,0.3266,0.2717,0.3593,0.0248
segmented,4,65536,3,196418,0.999031,381002479,0.5168,0.4813,0.5567,0.0258
standard,4,65536,3,196354,0.998709,367249054,0.5359,0.5054,0.5847,0.0257
segmented,2,65536,4,255613,0.975085,753829146,0.3422,0.2867,0.3835,0.0321
standard,2,65536,4,255431,0.974392,783412083,0.3279,0.2795,0.3724,0.0242
segmented,3,49152,4,196216,0.998005,428242062,0.4595,0.4181,0.5025,0.0248
standard,3,19683,4,78577,0.998035,203559588,0.3877,0.3427,0.4176,0.0247
segmented,4,65536,4,262011,0.999493,447699908,0.5875,0.5255,0.6330,0.0355
standard,4,65536,4,261998,0.999445,445667525,0.5894,0.5397,0.6254,0.0293
segmented,2,262144,1,126303,0.481808,50595012,2.4964,2.4644,2.5165,0.0135
standard,2,262144,1,134272,0.512207,65371246,2.0540,2.0359,2.0647,0.0106
segmented,3,196608,1,179271,0.911818,655204875,0.2773,0.2353,0.3388,0.0325
standard,3,59049,1,53806,0.911201,255712567,0.2115,0.1891,0.2391,0.0148
segmented,4,262144,1,254803,0.971996,853653292,0.3005,0.2624,0.3565,0.0253
standard,4,262144,1,254877,0.972279,883930758,0.2908,0.2511,0.3389,0.0271
segmented,2,262144,2,466573,0.889917,1501573583,0.3116,0.2892,0.3426,0.0168
standard,2,262144,2,465996,0.888816,1494621817,0.3135,0.2861,0.3534,0.0234
segmented,3,196608,2,387147,0.984565,1151869279,0.3367,0.3142,0.3518,0.0141
standard,3,59049,2,116240,0.984263,428122404,0.2734,0.2423,0.3131,0.0231
segmented,4,262144,2,522280,0.996170,1132762888,0.4633,0.3966,0.5114,0.0313
standard,4,262144,2,522194,0.996005,1195414816,0.4378,0.4067,0.4807,0.0211
segmented,2,262144,3,748821,0.952175,2390420000,0.3150,0.2814,0.3582,0.0233
standard,2,262144,3,748403,0.951643,2436202275,0.3090,0.2648,0.3346,0.0228
segmented,3,196608,3,586745,0.994780,1353460925,0.4350,0.3873,0.4806,0.0251
standard,3,59049,3,176232,0.994835,481867050,0.3665,0.3482,0.3989,0.0173
segmented,4,262144,3,785520,0.998841,1447520492,0.5435,0.5146,0.5913,0.0221
standard,4,262144,3,785384,0.998667,1386149454,0.5682,0.5115,0.6245,0.0303
segmented,2,262144,4,1022010,0.974664,2832271175,0.3615,0.3405,0.3947,0.0160
standard,2,262144,4,1021710,0.974378,3125541546,0.3283,0.3015,0.3655,0.0214
segmented,3,196608,4,784631,0.997710,1633854638,0.4817,0.4488,0.5368,0.0271
standard,3,59049,4,235697,0.997889,594447542,0.3983,0.3542,0.4367,0.0263
segmented,4,262144,4,1047954,0.999407,1738618850,0.6032,0.5744,0.6240,0.0156
standard,4,262144,4,1047805,0.999265,1626389296,0.6451,0.6037,0.6996,0.0241
segmented,2,1048576,1,499876,0.476719,193690533,2.5812,2.5230,2.6115,0.0312
standard,2,1048576,1,525743,0.501388,251474975,2.0953,1.8797,2.1567,0.0950
segmented,3,786432,1,716760,0.911407,2603523787,0.2757,0.2591,0.2972,0.0100
standard,3,177147,1,161438,0.911322,696960175,0.2326,0.2154,0.2558,0.0147
segmented,4,1048576,1,1018371,0.971194,3088285942,0.3308,0.3005,0.3657,0.0190
standard,4,1048576,1,1018203,0.971034,3343625900,0.3053,0.2795,0.3282,0.0151
segmented,2,1048576,2,1862332,0.888029,5373016700,0.3478,0.3083,0.3764,0.0203
standard,2,1048576,2,1860275,0.887048,5595497304,0.3354,0.2990,0.4126,0.0329
segmented,3,786432,2,1546883,0.983482,4167694788,0.3725,0.3502,0.4402,0.0240
standard,3,177147,2,348556,0.983804,1192371608,0.2940,0.2578,0.3242,0.0221
segmented,4,1048576,2,2088316,0.995787,4281792004,0.4900,0.4338,0.5663,0.0341
standard,4,1048576,2,2087630,0.995459,4399294612,0.4767,0.4332,0.5606,0.0333
segmented,2,1048576,3,2992056,0.951149,8284219500,0.3613,0.3473,0.3704,0.0069
standard,2,1048576,3,2990430,0.950632,8938272629,0.3351,0.3145,0.3584,0.0134
segmented,3,786432,3,2346374,0.994523,5046817187,0.4657,0.4328,0.4979,0.0184
standard,3,177147,3,528444,0.994361,1397118775,0.3830,0.3401,0.4728,0.0456
segmented,4,1048576,3,3141273,0.998584,5320504054,0.5917,0.5631,0.6418,0.0286
standard,4,1048576,3,3140900,0.998465,5509692784,0.5713,0.5243,0.6088,0.0257
segmented,2,1048576,4,4085612,0.974086,10614804146,0.3855,0.3597,0.4103,0.0149
standard,2,1048576,4,4081939,0.973210,11126105804,0.3674,0.3440,0.3930,0.0140
segmented,3,786432,4,3137361,0.997340,5810735812,0.5410,0.5056,0.5796,0.0244
standard,3,177147,4,706852,0.997549,1665284967,0.4254,0.3780,0.4450,0.0192
segmented,4,1048576,4,4191246,0.999271,6579668275,0.6375,0.6057,0.6631,0.0176
standard,4,1048576,4,4190546,0.999104,6077195225,0.6904,0.6469,0.7295,0.0245
