scheme,arity,num_buckets,bucket_size,value_bits,mean_inserted,mean_lf,mean_mops
segmented,2,314573,2,8,114677,0.874914,2.0342
segmented,3,235930,2,8,95846,0.974996,1.8300
segmented,4,314573,2,8,130011,0.991904,1.6694
segmented,2,275942,2,64,115076,0.877954,0.8917
segmented,3,206956,2,64,96265,0.979233,0.8464
segmented,4,275942,2,64,130010,0.991896,0.7742
segmented,2,266057,2,256,115413,0.880511,0.3185
segmented,3,199543,2,256,96249,0.979069,0.3189
segmented,4,266057,2,256,130245,0.993668,0.3075
segmented,2,263157,2,1024,115292,0.879586,0.0942
segmented,3,197368,2,1024,96165,0.978223,0.0937
segmented,4,263157,2,1024,130112,0.992669,0.0924
segmented,2,157287,4,8,126508,0.965176,1.7563
segmented,3,117965,4,8,97914,0.996010,1.5065
segmented,4,157287,4,8,130820,0.998071,1.3263
segmented,2,137971,4,64,126994,0.968866,0.8251
segmented,3,103478,4,64,97837,0.995244,0.7615
segmented,4,137971,4,64,130863,0.998392,0.7057
segmented,2,133029,4,256,126730,0.966866,0.3140
segmented,3,99772,4,256,97690,0.993754,0.3067
segmented,4,133029,4,256,130802,0.997932,0.2927
segmented,2,131579,4,1024,126161,0.962532,0.0927
segmented,3,98684,4,1024,97872,0.995596,0.0920
segmented,4,131579,4,1024,130793,0.997869,0.0904
