backend,mutation_kind,arity,num_buckets,bucket_size,value_bits,plaintext_bits,lwe_dim,n_mutations,load_factor,n_succeeded,total_ms,ops_per_s,cells_per_slot,row_width,segment_rows,db_rows,db_cols
frodo,insert,2,262144,4,256,9,1566,10485,0.90,10485,7097.036,1477.38,32,128,131072,131072,128
frodo,update,2,262144,4,256,9,1566,10485,0.90,10485,1181.117,8877.19,32,128,131072,131072,128
frodo,delete,2,262144,4,256,9,1566,10485,0.90,10485,1297.998,8077.82,32,128,131072,131072,128
frodo,insert,2,262144,4,2048,9,1566,10485,0.90,10485,25537.231,410.58,232,928,131072,131072,928
frodo,update,2,262144,4,2048,9,1566,10485,0.90,10485,4521.615,2318.86,232,928,131072,131072,928
frodo,delete,2,262144,4,2048,9,1566,10485,0.90,10485,4543.191,2307.85,232,928,131072,131072,928
frodo,insert,2,262144,4,8192,9,1566,10485,0.90,10485,143256.778,73.19,914,3656,131072,131072,3656
frodo,update,2,262144,4,8192,9,1566,10485,0.90,10485,24934.854,420.50,914,3656,131072,131072,3656
frodo,delete,2,262144,4,8192,9,1566,10485,0.90,10485,24579.467,426.58,914,3656,131072,131072,3656
frodo,insert,2,1048576,4,256,9,1566,41943,0.90,41943,27630.308,1518.01,32,128,524288,524288,128
frodo,update,2,1048576,4,256,9,1566,41943,0.90,41943,4475.167,9372.39,32,128,524288,524288,128
frodo,delete,2,1048576,4,256,9,1566,41943,0.90,41943,5058.738,8291.20,32,128,524288,524288,128
frodo,insert,2,1048576,4,2048,9,1566,41943,0.90,41943,100940.410,415.52,232,928,524288,524288,928
frodo,update,2,1048576,4,2048,9,1566,41943,0.90,41943,16985.339,2469.36,232,928,524288,524288,928
frodo,delete,2,1048576,4,2048,9,1566,41943,0.90,41943,17123.061,2449.50,232,928,524288,524288,928
frodo,insert,2,1048576,4,8192,9,1566,41943,0.90,41943,566816.157,74.00,914,3656,524288,524288,3656
frodo,update,2,1048576,4,8192,9,1566,41943,0.90,41943,217849.965,192.53,914,3656,524288,524288,3656
frodo,delete,2,1048576,4,8192,9,1566,41943,0.90,41943,161270.640,260.08,914,3656,524288,524288,3656
