backend,arity,num_buckets,bucket_size,num_keys,db_size,value_bits,plaintext_bits,fingerprint_bits,lwe_dim,batch,mean_dps,min_dps,max_dps,stddev_dps,cells_per_slot,row_width,segment_rows,db_rows,db_cols,load_factor
frodo,2,262144,4,1000000,1048576,256,9,32,1566,64,221586.19,65316.79,346020.76,46807.48,32,128,131072,131072,128,0.9537
frodo,2,262144,4,1000000,1048576,2048,9,32,1566,64,69128.26,47014.57,82034.45,5669.97,232,928,131072,131072,928,0.9537
frodo,2,262144,4,1000000,1048576,8192,9,32,1566,64,25835.92,15800.28,28256.57,1972.23,914,3656,131072,131072,3656,0.9537
frodo,4,1048576,1,1000000,1048576,256,9,32,1566,64,217896.76,65659.88,309813.34,31800.29,32,32,262144,262144,32,0.9537
frodo,4,1048576,1,1000000,1048576,2048,9,32,1566,64,97861.33,19584.80,119760.48,13739.51,232,232,262144,262144,232,0.9537
frodo,4,1048576,1,1000000,1048576,8192,9,32,1566,64,41433.22,27404.77,46794.57,3075.81,914,914,262144,262144,914,0.9537
frodo,4,524288,2,1000000,1048576,256,9,32,1566,64,192377.93,100908.17,292397.66,28867.45,32,64,131072,131072,64,0.9537
frodo,4,524288,2,1000000,1048576,2048,9,32,1566,64,67251.90,50403.23,77160.49,4950.30,232,464,131072,131072,464,0.9537
frodo,4,524288,2,1000000,1048576,8192,9,32,1566,64,25095.45,17334.03,26838.43,1343.33,914,1828,131072,131072,1828,0.9537
frodo,3,786432,2,1500000,1572864,256,9,32,1566,64,182569.60,64221.95,261028.45,32107.54,32,64,262144,262144,64,0.9537
frodo,3,786432,2,1500000,1572864,2048,9,32,1566,64,76442.69,40110.71,90489.55,7962.51,232,464,262144,262144,464,0.9537
frodo,3,786432,2,1500000,1572864,8192,9,32,1566,64,31544.60,22222.22,34710.17,1883.01,914,1828,262144,262144,1828,0.9537
frodo,4,524288,3,1500000,1572864,256,9,32,1566,64,161590.36,54288.82,237529.69,21370.14,32,96,131072,131072,96,0.9537
frodo,4,524288,3,1500000,1572864,2048,9,32,1566,64,49968.50,36683.79,58616.65,3635.33,232,696,131072,131072,696,0.9537
frodo,4,524288,3,1500000,1572864,8192,9,32,1566,64,18330.70,7357.81,19688.92,1628.24,914,2742,131072,131072,2742,0.9537
frodo,3,1572864,2,3000000,3145728,256,9,32,1566,64,185318.18,61915.67,234192.04,25486.92,32,64,524288,524288,64,0.9537
frodo,3,1572864,2,3000000,3145728,2048,9,32,1566,64,71091.79,38009.81,88652.48,8506.59,232,464,524288,524288,464,0.9537
frodo,3,1572864,2,3000000,3145728,8192,9,32,1566,64,31188.11,22794.62,34746.35,1307.87,914,1828,524288,524288,1828,0.9537
frodo,4,1048576,3,3000000,3145728,256,9,32,1566,64,158908.74,56980.06,195312.50,20090.08,32,96,262144,262144,96,0.9537
frodo,4,1048576,3,3000000,3145728,2048,9,32,1566,64,48946.80,33134.53,55772.45,3484.71,232,696,262144,262144,696,0.9537
frodo,4,1048576,3,3000000,3145728,8192,9,32,1566,64,18327.78,10440.59,19747.24,1255.03,914,2742,262144,262144,2742,0.9537
frodo,2,1048576,4,4000000,4194304,256,9,32,1566,64,168970.60,114942.53,219298.25,21651.55,32,128,524288,524288,128,0.9537
frodo,2,1048576,4,4000000,4194304,2048,9,32,1566,64,64395.27,35958.29,76277.65,5165.68,232,928,524288,524288,928,0.9537
frodo,2,1048576,4,4000000,4194304,8192,9,32,1566,64,25773.91,16641.70,27389.76,1691.25,914,3656,524288,524288,3656,0.9537
frodo,4,4194304,1,4000000,4194304,256,9,32,1566,64,160030.51,82850.04,202429.15,18876.31,32,32,1048576,1048576,32,0.9537
frodo,4,4194304,1,4000000,4194304,2048,9,32,1566,64,88731.94,16439.26,109409.19,12021.58,232,232,1048576,1048576,232,0.9537
frodo,4,4194304,1,4000000,4194304,8192,9,32,1566,64,39734.85,24625.08,44191.08,3418.25,914,914,1048576,1048576,914,0.9537
frodo,4,2097152,2,4000000,4194304,256,9,32,1566,64,142144.47,59417.71,198767.64,19232.41,32,64,524288,524288,64,0.9537
frodo,4,2097152,2,4000000,4194304,2048,9,32,1566,64,60867.54,35050.82,69735.01,5347.23,232,464,524288,524288,464,0.9537
frodo,4,2097152,2,4000000,4194304,8192,9,32,1566,64,25469.98,15458.34,27412.28,1995.29,914,1828,524288,524288,1828,0.9537
simple,2,262144,4,1000000,1048576,256,10,32,1275,64,99588.23,52548.61,127496.81,13350.81,29,116,131072,3856,3944,0.9537
simple,2,262144,4,1000000,1048576,2048,10,32,1275,64,40230.27,26723.68,46446.82,3649.19,208,832,131072,10083,10816,0.9537
simple,2,262144,4,1000000,1048576,8192,10,32,1275,64,18419.40,9243.00,20479.21,1479.04,823,3292,131072,21846,19752,0.9537
simple,4,1048576,1,1000000,1048576,256,10,32,1275,64,75078.13,13627.69,95785.44,9678.16,29,29,262144,2760,2755,0.9537
simple,4,1048576,1,1000000,1048576,2048,10,32,1275,64,38954.03,17796.76,45477.28,4658.92,208,208,262144,7282,7488,0.9537
simple,4,1048576,1,1000000,1048576,8192,10,32,1275,64,19104.22,11314.78,21777.00,1778.22,823,823,262144,14564,14814,0.9537
simple,4,524288,2,1000000,1048576,256,10,32,1275,64,77831.09,48410.52,93516.21,7912.78,29,58,131072,2731,2784,0.9537
simple,4,524288,2,1000000,1048576,2048,10,32,1275,64,20014.82,9708.74,34176.35,8898.56,208,416,131072,7282,7488,0.9537
