backend,arity,num_buckets,bucket_size,num_keys,db_size,value_bits,plaintext_bits,fingerprint_bits,lwe_dim,batch,mean_qps,min_qps,max_qps,stddev_qps,query_bytes,cells_per_slot,row_width,segment_rows,db_rows,db_cols,load_factor
frodo,2,262144,4,1000000,1048576,256,9,32,1566,64,7435.67,576.85,8915.83,1125.61,1048588,32,128,131072,131072,128,0.9537
frodo,2,262144,4,1000000,1048576,2048,9,32,1566,64,8585.97,2942.34,11996.88,1009.54,1048588,232,928,131072,131072,928,0.9537
frodo,2,262144,4,1000000,1048576,8192,9,32,1566,64,7910.17,2683.12,11853.26,831.55,1048588,914,3656,131072,131072,3656,0.9537
frodo,4,1048576,1,1000000,1048576,256,9,32,1566,64,1338.06,460.22,2198.82,274.87,4194316,32,32,262144,262144,32,0.9537
frodo,4,1048576,1,1000000,1048576,2048,9,32,1566,64,1978.32,925.71,2249.97,168.14,4194316,232,232,262144,262144,232,0.9537
frodo,4,1048576,1,1000000,1048576,8192,9,32,1566,64,2134.31,1652.43,2885.73,151.60,4194316,914,914,262144,262144,914,0.9537
frodo,4,524288,2,1000000,1048576,256,9,32,1566,64,2158.99,725.02,4715.51,374.74,2097164,32,64,131072,131072,64,0.9537
frodo,4,524288,2,1000000,1048576,2048,9,32,1566,64,4215.93,2782.65,5161.44,276.95,2097164,232,464,131072,131072,464,0.9537
frodo,4,524288,2,1000000,1048576,8192,9,32,1566,64,4264.99,2967.36,5022.35,310.25,2097164,914,1828,131072,131072,1828,0.9537
frodo,3,786432,2,1500000,1572864,256,9,32,1566,64,1382.28,417.38,2683.23,215.46,3145740,32,64,262144,262144,64,0.9537
frodo,3,786432,2,1500000,1572864,2048,9,32,1566,64,2774.75,629.83,3269.36,302.00,3145740,232,464,262144,262144,464,0.9537
frodo,3,786432,2,1500000,1572864,8192,9,32,1566,64,2963.98,2298.48,4426.18,258.62,3145740,914,1828,262144,262144,1828,0.9537
frodo,4,524288,3,1500000,1572864,256,9,32,1566,64,3842.02,847.46,4361.29,395.99,2097164,32,96,131072,131072,96,0.9537
frodo,4,524288,3,1500000,1572864,2048,9,32,1566,64,4267.83,2257.74,4863.34,352.32,2097164,232,696,131072,131072,696,0.9537
frodo,4,524288,3,1500000,1572864,8192,9,32,1566,64,4336.41,3045.99,5958.59,330.90,2097164,914,2742,131072,131072,2742,0.9537
frodo,3,1572864,2,3000000,3145728,256,9,32,1566,64,850.77,258.38,1147.04,200.65,6291468,32,64,524288,524288,64,0.9537
frodo,3,1572864,2,3000000,3145728,2048,9,32,1566,64,1392.27,788.90,1578.51,121.19,6291468,232,464,524288,524288,464,0.9537
frodo,3,1572864,2,3000000,3145728,8192,9,32,1566,64,1398.20,1214.96,1638.89,89.53,6291468,914,1828,524288,524288,1828,0.9537
frodo,4,1048576,3,3000000,3145728,256,9,32,1566,64,1336.68,433.60,1751.28,276.86,4194316,32,96,262144,262144,96,0.9537
frodo,4,1048576,3,3000000,3145728,2048,9,32,1566,64,2146.33,1672.58,2463.60,144.05,4194316,232,696,262144,262144,696,0.9537
frodo,4,1048576,3,3000000,3145728,8192,9,32,1566,64,2130.34,1701.90,2414.70,140.80,4194316,914,2742,262144,262144,2742,0.9537
frodo,2,1048576,4,4000000,4194304,256,9,32,1566,64,1036.84,395.65,1502.64,286.52,4194316,32,128,524288,524288,128,0.9537
frodo,2,1048576,4,4000000,4194304,2048,9,32,1566,64,2069.43,1487.23,2298.06,122.86,4194316,232,928,524288,524288,928,0.9537
frodo,2,1048576,4,4000000,4194304,8192,9,32,1566,64,2106.01,1496.05,2459.06,150.12,4194316,914,3656,524288,524288,3656,0.9537
frodo,4,4194304,1,4000000,4194304,256,9,32,1566,64,352.76,126.95,535.88,67.67,16777228,32,32,1048576,1048576,32,0.9537
frodo,4,4194304,1,4000000,4194304,2048,9,32,1566,64,353.92,50.95,570.60,75.85,16777228,232,232,1048576,1048576,232,0.9537
frodo,4,4194304,1,4000000,4194304,8192,9,32,1566,64,549.37,465.16,603.12,28.86,16777228,914,914,1048576,1048576,914,0.9537
frodo,4,2097152,2,4000000,4194304,256,9,32,1566,64,678.21,205.90,1086.86,139.09,8388620,32,64,524288,524288,64,0.9537
frodo,4,2097152,2,4000000,4194304,2048,9,32,1566,64,763.10,423.01,1065.17,171.88,8388620,232,464,524288,524288,464,0.9537
frodo,4,2097152,2,4000000,4194304,8192,9,32,1566,64,1064.85,678.31,1213.30,87.96,8388620,914,1828,524288,524288,1828,0.9537
