backend,arity,num_buckets,bucket_size,num_keys,db_size,value_bits,plaintext_bits,fingerprint_bits,lwe_dim,batch,mean_qps,min_qps,max_qps,stddev_qps,query_bytes,response_bytes,cells_per_slot,row_width,segment_rows,db_rows,db_cols,load_factor
frodo,2,262144,4,1000000,1048576,256,9,32,1566,64,80.79,72.78,87.41,3.32,1048588,1036,32,128,131072,131072,128,0.9537
frodo,2,262144,4,1000000,1048576,2048,9,32,1566,64,11.24,10.49,11.92,0.30,1048588,7436,232,928,131072,131072,928,0.9537
frodo,2,262144,4,1000000,1048576,8192,9,32,1566,64,2.67,2.54,2.83,0.05,1048588,29260,914,3656,131072,131072,3656,0.9537
frodo,4,1048576,1,1000000,1048576,256,9,32,1566,64,74.18,67.63,79.88,2.60,4194316,524,32,32,262144,262144,32,0.9537
frodo,4,1048576,1,1000000,1048576,2048,9,32,1566,64,11.13,10.60,11.92,0.32,4194316,3724,232,232,262144,262144,232,0.9537
frodo,4,1048576,1,1000000,1048576,8192,9,32,1566,64,2.80,2.67,2.97,0.06,4194316,14636,914,914,262144,262144,914,0.9537
frodo,4,524288,2,1000000,1048576,256,9,32,1566,64,81.21,73.08,89.28,3.65,2097164,1036,32,64,131072,131072,64,0.9537
frodo,4,524288,2,1000000,1048576,2048,9,32,1566,64,10.81,9.99,11.73,0.37,2097164,7436,232,464,131072,131072,464,0.9537
frodo,4,524288,2,1000000,1048576,8192,9,32,1566,64,2.87,2.71,3.06,0.07,2097164,29260,914,1828,131072,131072,1828,0.9537
frodo,3,786432,2,1500000,1572864,256,9,32,1566,64,49.61,41.31,54.06,2.13,3145740,780,32,64,262144,262144,64,0.9537
frodo,3,786432,2,1500000,1572864,2048,9,32,1566,64,7.34,6.95,7.77,0.19,3145740,5580,232,464,262144,262144,464,0.9537
frodo,3,786432,2,1500000,1572864,8192,9,32,1566,64,1.89,1.82,1.99,0.04,3145740,21948,914,1828,262144,262144,1828,0.9537
frodo,4,524288,3,1500000,1572864,256,9,32,1566,64,53.91,49.06,56.84,1.67,2097164,1548,32,96,131072,131072,96,0.9537
frodo,4,524288,3,1500000,1572864,2048,9,32,1566,64,7.57,7.15,7.96,0.21,2097164,11148,232,696,131072,131072,696,0.9537
frodo,4,524288,3,1500000,1572864,8192,9,32,1566,64,1.83,1.75,1.90,0.03,2097164,43884,914,2742,131072,131072,2742,0.9537
frodo,3,1572864,2,3000000,3145728,256,9,32,1566,64,26.32,24.05,28.11,0.90,6291468,780,32,64,524288,524288,64,0.9537
frodo,3,1572864,2,3000000,3145728,2048,9,32,1566,64,3.59,3.33,3.83,0.09,6291468,5580,232,464,524288,524288,464,0.9537
frodo,3,1572864,2,3000000,3145728,8192,9,32,1566,64,0.93,0.89,0.99,0.02,6291468,21948,914,1828,524288,524288,1828,0.9537
frodo,4,1048576,3,3000000,3145728,256,9,32,1566,64,25.49,22.95,27.61,1.09,4194316,1548,32,96,262144,262144,96,0.9537
