backend,mutation_kind,arity,num_buckets,bucket_size,value_bits,plaintext_bits,lwe_dim,n_mutations,load_factor,n_attempted,n_succeeded,total_ms,ops_per_s,delta_bytes_total,cells_per_slot,row_width,segment_rows,db_rows,db_cols
frodo,insert,2,262144,4,256,9,1566,10485,0.90,10485,10485,7229.119,1450.38,18993732,32,128,131072,131072,128
frodo,update,2,262144,4,256,9,1566,10485,0.90,10485,10485,1190.589,8806.56,3297514,32,128,131072,131072,128
frodo,delete,2,262144,4,256,9,1566,10485,0.90,10485,10485,1316.352,7965.19,3647940,32,128,131072,131072,128
frodo,insert,2,262144,4,2048,9,1566,10485,0.90,10485,10485,30595.812,342.69,136204966,232,928,131072,131072,928
frodo,update,2,262144,4,2048,9,1566,10485,0.90,10485,10485,5215.449,2010.37,24051094,232,928,131072,131072,928
frodo,delete,2,262144,4,2048,9,1566,10485,0.90,10485,10485,5295.286,1980.06,24565530,232,928,131072,131072,928
frodo,insert,2,262144,4,8192,9,1566,10485,0.90,10485,10485,157110.332,66.74,544783112,914,3656,131072,131072,3656
frodo,update,2,262144,4,8192,9,1566,10485,0.90,10485,10485,26780.097,391.52,95051974,914,3656,131072,131072,3656
frodo,delete,2,262144,4,8192,9,1566,10485,0.90,10485,10485,27260.169,384.63,96124820,914,3656,131072,131072,3656
frodo,insert,2,1048576,4,256,9,1566,41943,0.90,41943,41943,29125.542,1440.08,76514800,32,128,524288,524288,128
frodo,update,2,1048576,4,256,9,1566,41943,0.90,41943,41943,4814.184,8712.38,13190980,32,128,524288,524288,128
frodo,delete,2,1048576,4,256,9,1566,41943,0.90,41943,41943,5328.413,7871.57,14592674,32,128,524288,524288,128
frodo,insert,2,1048576,4,2048,9,1566,41943,0.90,41943,41943,119285.155,351.62,534404172,232,928,524288,524288,928
frodo,update,2,1048576,4,2048,9,1566,41943,0.90,41943,41943,21105.325,1987.32,96211260,232,928,524288,524288,928
frodo,delete,2,1048576,4,2048,9,1566,41943,0.90,41943,41943,21172.986,1980.97,98268974,232,928,524288,524288,928
frodo,insert,2,1048576,4,8192,9,1566,41943,0.90,41943,41943,695074.768,60.34,2118065666,914,3656,524288,524288,3656
frodo,update,2,1048576,4,8192,9,1566,41943,0.90,41943,41943,137203.599,305.70,380235280,914,3656,524288,524288,3656
