backend,arity,num_buckets,bucket_size,value_bits,plaintext_bits,lwe_dim,mean_setup_ms,min_setup_ms,max_setup_ms,stddev_setup_ms,setup_bundle_bytes,hint_bytes_per_segment,server_params_bytes_per_segment,cells_per_slot,row_width,segment_rows,db_rows,db_cols,load_factor
frodo,2,262144,4,256,9,1566,11134.041,11045.717,11223.090,72.414,1603685,801792,32,32,128,131072,131072,128,0.9738
frodo,2,262144,4,2048,9,1566,68375.386,68090.426,68809.333,311.827,11626085,5812992,32,232,928,131072,131072,928,0.9751
frodo,2,262144,4,8192,9,1566,451584.070,444077.803,456075.172,5341.824,45802469,22901184,32,914,3656,131072,131072,3656,0.9731
frodo,2,1048576,4,256,9,1566,67760.306,60513.641,74574.881,5748.602,1603685,801792,32,32,128,524288,524288,128,0.9737
frodo,2,1048576,4,2048,9,1566,273124.802,272370.670,274286.612,833.611,11626085,5812992,32,232,928,524288,524288,928,0.9732
frodo,2,1048576,4,8192,9,1566,1825370.443,1812838.275,1835431.751,9387.764,45802469,22901184,32,914,3656,524288,524288,3656,0.9737
frodo,4,1048576,1,256,9,1566,17315.857,17293.157,17341.633,19.909,801957,200448,32,32,32,262144,262144,32,0.9724
frodo,4,1048576,1,2048,9,1566,74203.560,74152.243,74298.194,66.996,5813157,1453248,32,232,232,262144,262144,232,0.9719
frodo,4,1048576,1,8192,9,1566,293625.430,292686.410,294724.089,839.503,22901349,5725296,32,914,914,262144,262144,914,0.9711
frodo,4,4194304,1,256,9,1566,68810.923,68483.336,69085.007,248.528,801957,200448,32,32,32,1048576,1048576,32,0.9708
frodo,4,4194304,1,2048,9,1566,300481.233,299069.284,302315.026,1358.228,5813157,1453248,32,232,232,1048576,1048576,232,0.9702
frodo,4,4194304,1,8192,9,1566,1237179.481,1237179.481,1237179.481,0.000,22901349,5725296,32,914,914,1048576,1048576,914,0.9704
frodo,4,524288,2,256,9,1566,13247.224,13247.224,13247.224,0.000,1603749,400896,32,32,64,131072,131072,64,0.9962
frodo,4,524288,2,2048,9,1566,69980.514,69980.514,69980.514,0.000,11626149,2906496,32,232,464,131072,131072,464,0.9959
frodo,4,524288,2,8192,9,1566,291509.363,291509.363,291509.363,0.000,45802533,11450592,32,914,1828,131072,131072,1828,0.9954
frodo,4,2097152,2,256,9,1566,52651.663,52651.663,52651.663,0.000,1603749,400896,32,32,64,524288,524288,64,0.9957
frodo,4,2097152,2,2048,9,1566,350889.897,350889.897,350889.897,0.000,11626149,2906496,32,232,464,524288,524288,464,0.9961
frodo,4,2097152,2,8192,9,1566,1148511.034,1148511.034,1148511.034,0.000,45802533,11450592,32,914,1828,524288,524288,1828,0.9958
frodo,3,786432,2,256,9,1566,22406.653,22406.653,22406.653,0.000,1202821,400896,32,32,64,262144,262144,64,0.9832
frodo,3,786432,2,2048,9,1566,104953.712,104953.712,104953.712,0.000,8719621,2906496,32,232,464,262144,262144,464,0.9838
frodo,3,786432,2,8192,9,1566,477330.090,477330.090,477330.090,0.000,34351909,11450592,32,914,1828,262144,262144,1828,0.9829
frodo,3,1572864,2,256,9,1566,56790.045,56790.045,56790.045,0.000,1202821,400896,32,32,64,524288,524288,64,0.9835
frodo,3,1572864,2,2048,9,1566,217631.783,217631.783,217631.783,0.000,8719621,2906496,32,232,464,524288,524288,464,0.9823
frodo,3,1572864,2,8192,9,1566,856915.575,856915.575,856915.575,0.000,34351909,11450592,32,914,1828,524288,524288,1828,0.9821
frodo,3,393216,3,256,9,1566,13568.468,13568.468,13568.468,0.000,1804165,601344,32,32,96,131072,131072,96,0.9948
frodo,3,393216,3,2048,9,1566,80022.191,80022.191,80022.191,0.000,13079365,4359744,32,232,696,131072,131072,696,0.9947
frodo,3,393216,3,8192,9,1566,454931.572,454931.572,454931.572,0.000,51527797,17175888,32,914,2742,131072,131072,2742,0.9944
frodo,3,1572864,3,256,8,1566,104350.317,104350.317,104350.317,0.000,2029669,676512,32,36,108,524288,524288,108,0.9942
frodo,3,1572864,3,2048,8,1566,358844.451,358844.451,358844.451,0.000,14657893,4885920,32,260,780,524288,524288,780,0.9945
